@id,createdAt,history_accidentCount,history_accidents,history_oneOwner,history_ownerCount,history_personalUse,history_usageType,location,online,retailListing_carfaxUrl,retailListing_city,retailListing_cpo,retailListing_dealer,retailListing_miles,retailListing_photoCount,retailListing_price,retailListing_primaryImage,retailListing_state,retailListing_used,retailListing_vdp,retailListing_zip,vehicle_baseInvoice,vehicle_baseMsrp,vehicle_bodyStyle,vehicle_confidence,vehicle_cylinders,vehicle_doors,vehicle_drivetrain,vehicle_engine,vehicle_exteriorColor,vehicle_fuel,vehicle_interiorColor,vehicle_make,vehicle_model,vehicle_seats,vehicle_series,vehicle_squishVin,vehicle_style,vehicle_transmission,vehicle_trim,vehicle_type,vehicle_vin,vehicle_year,vin,wholesaleListing
https://api.auto.dev/listings/2T2ADCAZ7SC017521,2026-03-11 15:18:18,0,False,True,1,True,Personal Use,"[-80.251, 25.765]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2ADCAZ7SC017521&partner=FRD_2,Miami,False,AutoNation Nissan Miami,8688,1,37990,https://retail.photos.vin/2T2ADCAZ7SC017521-1.jpg,FL,True,#7483469393795312637,33135,38302,40965,SUV,0.995,4,4,FWD,2.5L 4Cyl regular unleaded,Grecian Water,Regular Unleaded,Black,Lexus,NX,5,250 4dr SUV (2.5L 4cyl 8A),2T2ADCAZSC,4dr SUV,Automatic,250,Crossover,2T2ADCAZ7SC017521,2025,2T2ADCAZ7SC017521,
https://api.auto.dev/listings/2T2AGCEZ7SC093631,2026-03-03 23:01:04,1,True,True,1,True,Personal Use,"[-87.877, 42.026]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2AGCEZ7SC093631&partner=FRD_2,Des Plaines,False,AutoNation Honda O'Hare,14488,1,41666,https://retail.photos.vin/2T2AGCEZ7SC093631-1.jpg,IL,True,#-3677237642558314516,60018,41819,44725,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Cloudburst Gray,Premium Unleaded (Required),Palomino,Lexus,NX,5,350 4dr SUV AWD (2.4L 4cyl Turbo 8A),2T2AGCEZSC,4dr SUV,Automatic,350,Crossover,2T2AGCEZ7SC093631,2025,2T2AGCEZ7SC093631,
https://api.auto.dev/listings/2T2GDCAZ0RC008695,2026-03-19 14:36:30,0,False,True,1,True,Personal Use,"[-95.658, 29.784]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2GDCAZ0RC008695&partner=FRD_2,Houston,False,AutoNation USA Katy,34124,1,38495,https://retail.photos.vin/2T2GDCAZ0RC008695-1.jpg,TX,True,#7951310220153174996,77094,39742,42505,SUV,0.995,4,4,FWD,2.5L 4Cyl regular unleaded,Caviar,Regular Unleaded,Rioja Red,Lexus,NX,5,250 Premium 4dr SUV (2.5L 4cyl 8A),2T2GDCAZRC,4dr SUV,Automatic,250 Premium,Crossover,2T2GDCAZ0RC008695,2024,2T2GDCAZ0RC008695,
https://api.auto.dev/listings/2T2GDCAZ4RC007615,2026-03-02 19:14:16,0,False,True,1,True,Personal Use,"[-82.737, 28.022]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2GDCAZ4RC007615&partner=FRD_2,Clearwater,False,Lexus of Clearwater,30731,1,36913,https://retail.photos.vin/2T2GDCAZ4RC007615-1.jpg,FL,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de2a7dd208e47f7bdbdcc5470a9f7cc7431fe93ab54d5014789e9483d779ca95878d2eb16785533b7b8d7b1cd6e983a2d77edf5a1b1481af36bc739f6eb5787db2dfb7f16011f22412ebedeee38685f0721f74c31246e538ff42db94d2ceb09e6950fb15e40f90d9a2a0fa486f173a58cc4/?pl=42&context=1e0d811633d20dd94c351375e543927eda3d8b1a,33761,39742,42505,SUV,0.995,4,4,FWD,2.5L 4Cyl regular unleaded,Redline,Regular Unleaded,Rich Cream,Lexus,NX,5,250 Premium 4dr SUV (2.5L 4cyl 8A),2T2GDCAZRC,4dr SUV,Automatic,250 Premium,Crossover,2T2GDCAZ4RC007615,2024,2T2GDCAZ4RC007615,
https://api.auto.dev/listings/2T2GDCAZ8SC016792,2026-03-11 15:12:08,1,True,True,1,True,Personal Use,"[-80.138, 26.092]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2GDCAZ8SC016792&partner=FRD_2,Ft. Lauderdale,False,Mercedes-Benz of Fort Lauderdale,25272,1,36299,https://retail.photos.vin/2T2GDCAZ8SC016792-1.jpg,FL,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de29414911518b75f3f70678cb20a05f94152b2ffa85500c57023c745f56c94fdeed2eb16785533b7b8d7b1cd6e983a2d77edf5a1b1481af36bc739f6eb5787db2dfb7f16011f22412ebedeee38685f0721f74c31246e538ff42db94d2ceb09e6950fb15e40f90d9a2a0fa486f173a58cc4/?pl=44&context=1e0d811633d20dd94c351375e543927eda3d8b1a,33316,40103,42890,SUV,0.995,4,4,FWD,2.5L 4Cyl regular unleaded,Caviar,Regular Unleaded,Rioja Red,Lexus,NX,5,250 Premium 4dr SUV (2.5L 4cyl 8A),2T2GDCAZSC,4dr SUV,Automatic,250 Premium,Crossover,2T2GDCAZ8SC016792,2025,2T2GDCAZ8SC016792,
https://api.auto.dev/listings/2T2GGCEZ1TC111021,2026-02-21 00:12:25,0,False,True,1,True,Personal Use,"[-121.982, 37.322]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2GGCEZ1TC111021&partner=FRD_2,San Jose,False,Mercedes-Benz of Stevens Creek,831,1,47998,https://retail.photos.vin/2T2GGCEZ1TC111021-1.jpg,CA,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de21439edeea8aac078e5ef3c14ed67c604ee2c82f939f99c1c70075887f43ccb429ab9160d56cd12ef117fd2423769c78272d78af2d89efca6f6254cebca60f8e7de5f4389b1cc2c773ae6b28b499c8f0c7b6ad524e9eb26f1797633f545ec82dae17dfe46c2bf13d50b6d06975724cf63/?pl=98&context=1e0d811633d20dd94c351375e543927eda3d8b1a,95129,44273,47350,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Grecian Water,Premium Unleaded (Required),Palomino,Lexus,NX,5,350 Premium 4dr SUV AWD (2.4L 4cyl Turbo 8A),2T2GGCEZTC,4dr SUV,Automatic,350 Premium,Crossover,2T2GGCEZ1TC111021,2026,2T2GGCEZ1TC111021,
https://api.auto.dev/listings/2T2GGCEZ8PC029762,2026-03-14 19:28:43,1,True,True,1,True,Personal Use,"[-117.988, 33.861]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2GGCEZ8PC029762&partner=FRD_2,Buena Park,False,House of Imports,37014,1,36544,https://retail.photos.vin/2T2GGCEZ8PC029762-1.jpg,CA,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de23ceefb81ef34e6b181f706fdf8611a3f218c3f27442abae123adead3b7e328f69ab9160d56cd12ef117fd2423769c78272d78af2d89efca6f6254cebca60f8e7de5f4389b1cc2c773ae6b28b499c8f0c7b6ad524e9eb26f1797633f545ec82dae17dfe46c2bf13d50b6d06975724cf63/?pl=16&context=1e0d811633d20dd94c351375e543927eda3d8b1a,90621,42884,45865,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Atomic Silver,Premium Unleaded (Required),Dark Rose,Lexus,NX,5,Premium 4dr SUV AWD (2.4L 4cyl Turbo 8A),2T2GGCEZPC,4dr SUV,Automatic,Premium,Crossover,2T2GGCEZ8PC029762,2023,2T2GGCEZ8PC029762,
https://api.auto.dev/listings/2T2HGCEZ6TC107311,2026-03-24 14:31:37,0,False,True,1,True,Personal Use,"[-77.439, 39.013]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2HGCEZ6TC107311&partner=FRD_2,Sterling,False,AutoNation Honda Dulles,1213,1,54991,https://retail.photos.vin/2T2HGCEZ6TC107311-1.jpg,VA,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de2e523c595d67ded967f443f990a3338a6dfd9a2f62872eb824ebb84b4506b3c08d2eb16785533b7b8d7b1cd6e983a2d77edf5a1b1481af36bc739f6eb5787db2dfb7f16011f22412ebedeee38685f0721f74c31246e538ff42db94d2ceb09e6950fb15e40f90d9a2a0fa486f173a58cc4/?pl=25&context=1e0d811633d20dd94c351375e543927eda3d8b1a,20166,48144,51490,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Atomic Silver,Premium Unleaded (Required),Black,Lexus,NX,5,350 Luxury 4dr SUV AWD (2.4L 4cyl Turbo 8A),2T2HGCEZTC,4dr SUV,Automatic,350 Luxury,Crossover,2T2HGCEZ6TC107311,2026,2T2HGCEZ6TC107311,
https://api.auto.dev/listings/2T2KGCEZ1PC017916,2026-02-04 16:30:26,0,False,False,2,True,Personal Use,"[-80.087, 26.441]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2KGCEZ1PC017916&partner=FRD_2,Delray Beach,False,BMW of Delray Beach,33899,1,38890,https://retail.photos.vin/2T2KGCEZ1PC017916-1.jpg,FL,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de280e54584b6c5fb7955994630fb0384cae952095edc25cebf1a1b1ada5c61e8c09ab9160d56cd12ef117fd2423769c78272d78af2d89efca6f6254cebca60f8e7de5f4389b1cc2c773ae6b28b499c8f0c7b6ad524e9eb26f1797633f545ec82dae17dfe46c2bf13d50b6d06975724cf63/?pl=95&context=1e0d811633d20dd94c351375e543927eda3d8b1a,33444,44801,47915,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Cloudburst Gray,Premium Unleaded (Required),Flare Red,Lexus,NX,5,F SPORT Handling 4dr SUV AWD (2.4L 4cyl Turbo 8A),2T2KGCEZPC,4dr SUV,Automatic,F SPORT Handling,Crossover,2T2KGCEZ1PC017916,2023,2T2KGCEZ1PC017916,
https://api.auto.dev/listings/2T2KGCEZ1RC034718,2026-03-03 19:37:31,1,True,True,1,True,Personal Use,"[-80.22, 25.926]",True,https://www.carfax.com/VehicleHistory/p/Report.cfx?vin=2T2KGCEZ1RC034718&partner=FRD_2,Miami,False,Mercedes-Benz of Miami,13517,1,39995,https://retail.photos.vin/2T2KGCEZ1RC034718-1.jpg,FL,True,http://details.vast.com/details/cars/ob-48ae10cec45c5264c0c05239af7ac2c3eda678223f9171ac63be6a3107cd3db63b027b96ef83ac88fd6ccb42933d4f3c6bf26f82a637df6dbf6160746a741de24ed2b784c3c0e00bb7393c0b52df97fd9221ba2052133606c07c171aac5debe39ab9160d56cd12ef117fd2423769c78272d78af2d89efca6f6254cebca60f8e7de5f4389b1cc2c773ae6b28b499c8f0c7b6ad524e9eb26f1797633f545ec82dae17dfe46c2bf13d50b6d06975724cf63/?pl=78&context=1e0d811633d20dd94c351375e543927eda3d8b1a,33169,45175,48315,SUV,0.995,4,4,AWD,2.4L 4Cyl premium unleaded (required),Ultrasonic Blue Mica 2.0,Premium Unleaded (Required),Black,Lexus,NX,5,350 F SPORT Handling 4dr SUV AWD (2.4L 4cyl Turbo 8A),2T2KGCEZRC,4dr SUV,Automatic,350 F SPORT Handling,Crossover,2T2KGCEZ1RC034718,2024,2T2KGCEZ1RC034718,
