listing_id,raw_output
100," {
  ""tuv"": ""TÜV bei Übergabe neu gemacht"",
  ""service_heft"": ""lückenlos bei Mercedes"",
  ""bereifung"": ""8-fach"",
  ""allwetterreifen"": ""Allwetterreifen"",
  ""garantie"": ""24 Monate"",
  ""unfallfrei"": true,
  ""mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""ausstattung"": {
    ""DISTRONIC"": true,
    ""ACC"": true,
    ""MULTIBEAM"": true,
    ""ILS"": true,
    ""4-Zonen"": true,
    ""THERMOTRONIC"": true,
    ""Klima hinten"": true,
    ""Burmester 3D"": false,
    ""Burmester"": false,
    ""AMG Line"": true,
    ""Pano"": true,
    ""Active Curve System"": true,
    ""Fahrassistent-Paket Plus"": true,
    ""Park-Paket"": true,
    ""Intelligent Light System LED"": true,
    ""Fernlichtassistent Adaptive Plus"": true,
    ""COMAND Online Navigationssystem"": true,
    ""Sound-System Harman Kardon Logic7"": false,
    ""Standheizung / Zusatzheizung mit Fernbedienung"": true,
    ""Sitzklimatisierung vorne"": true,
    ""Memory-Paket"": true,
    ""3-Zonen Klimaautomatik Thermotronik"": false,
    ""Lederausstattung 2-farbig"": true,
    ""Edelholz Esche"": true,
    ""Ambiente-Beleuchtung"": true,
    ""Servoschließung Türen"": true,
    ""Easy-Entry System"": true,
    ""Elektrisches Schiebe-/Hebedach"": true,
    ""Sonnenschutzrollos hinten"": true,
    ""Spiegel-Paket"": true,
    ""Doppel-Sonnenblenden"": true,
    ""Ionisator Luftreinigung"": true,
    ""Garagentoröffner integriert"": true,
    ""Trittbretter Aluminium"": true,
    ""Verbundsicherheitsglas vorne"": true,
    ""Reserverad"": true,
    ""Entertainment-Vorrüstung im Fond"": true,
    ""Mittelarmlehne hinten"": true,
    ""Multifunktionslenkrad"": true,
    ""Handschuhfach gekühlt"": true,
    ""Aktiver Bremsassistent"": true,
    ""PRE-SAFE System"": true,
    ""Attention Assist"": true,
    ""Seitenwind-Assistent"": true,
    ""Berganfahrhilfe & Bergabfahrkontrolle"": true,
    ""Adaptives Bremslicht"": true,
    ""Reifendruck-Kontrollsystem"": true,
    ""Isofix Kindersitzbefestigung"": true,
    ""Airbags rundum inkl. Knieairbag & Seitenairbags hinten"": true,
    ""Mercedes-Benz Notrufsystem"": true,
    ""3.0 l V6 Diesel"": true,
    ""Allradantrieb"": true,
    ""Fahrmodi"": true,
    ""Active Curve System"": true,
    ""Start/Stop-System"": true,
    ""Euro 6 + AdBlue"": true,
    ""AMG Line"": true,
    ""Metallic-Lackierung"": true,
    ""LED-Heckleuchten"": true,
    ""Dachreling Aluminium"": true,
    ""Trittbretter Aluminium"": true,
    ""Außenspiegel elektrisch & beheizbar"": true,
    ""Blinker im Außenspiegel integriert"": true,
    ""Leichtmetallfelgen"": true,
    ""Elektrische Heckklappe"": true,
    ""Servoschließung Türen"": true,
    ""Elektrische Feststellbremse"": true,
    ""Fensterheber elektrisch vorne & hinten"": true,
    ""Steckdose 12V"": true,
    ""Rücksitzbank geteilt & klappbar"": true,
    ""5-Türer"": true,
    ""Radstand"": ""3075 mm""
  },
  ""finanzierung"": ""Individuelles Finanzierungsangebot angeboten in Zusammenarbeit mit unseren Partnerbanken"",
  ""besichtigung"": ""Besichtigungen sind ausschließlich nach vorheriger Terminvereinbarung möglich""
}"
101," {
  ""TEIL 1"": {
    ""TÜV"": ""HU/AU neu"",
    ""Scheckheft"": ""lückenlos bei Mercedes"",
    ""Bereifung"": ""8-fach, Allwetterreifen"",
    ""Garantie"": ""24 Monate"",
    ""Unfallfrei"": true,
    ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  },

  ""TEIL 2"": {
    ""DISTRONIC, ACC"": ""Abstandsregeltempomat (DISTRONIC)"",
    ""MULTIBEAM, ILS"": ""Matrix-LED / MULTIBEAM"",
    ""4-Zonen, THERMOTRONIC, Klima hinten"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
    ""2-Zonen, THERMATIC"": ""Klimaautomatik (2-Zonen / THERMATIC)"",
    ""Burmester 3D"": ""Burmester High-End 3D-Soundsystem"",
    ""Burmester (Standard)"": ""Burmester Surround-Soundsystem"",
    ""AMG Line"": ""AMG Line (Achte darauf, ob auch Night-Paket erwähnt wird!)"",
    ""Pano"": ""Panorama-Schiebedach""
  }
}"
102," {
  ""TUV"": ""HU/AU neu"",
  ""Scheckheft"": ""lückenlos bei Mercedes"",
  ""Service A neu"": true,
  ""Bereifung"": {
    ""8-fach bereift"": true,
    ""Winter und Sommer"": null,
    ""Allwetterreifen"": ""Allwetter""
  },
  ""Garantie"": ""Junge Sterne 24 Monate"",
  ""Unfallfrei"": true,
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC"": true,
  ""ACC"": true,
  ""MULTIBEAM"": true,
  ""ILS"": true,
  ""4-Zonen"": true,
  ""THERMOTRONIC"": true,
  ""Klima hinten"": true,
  ""2-Zonen"": false,
  ""THERMATIC"": false,
  ""Burmester 3D"": ""Burmester High-End 3D-Soundsystem"",
  ""Burmester (Standard)"": ""Burmester Surround-Soundsystem"",
  ""AMG Line"": true,
  ""Pano"": {
    ""Elektrisches Doppel-Panorama"": true
  },
  ""Anhängerkupplung ausschwenkbar"": true,
  ""Standheizung"": true,
  ""Multibeam LED-Scheinwerfer"": true,
  "" Luftfederung (Sport-Fahrwerk) "": true,
  ""Agility Select / Dynamic Select"": true,
  ""360° Umgebungskamera"": true,
  ""HARMAN KARDON® LOGIC 7® SURROUND-SOUNDSYSTEM"": true,
  ""Intelligent-Light-System"": true,
  ""MB APP / Apple CarPlay / Android Auto"": true,
  ""Trittbretter seitlich"": true,
  ""Vorrüstung Entertainment-System im Fond"": true,
  ""F1-Schaltwippen"": true,
  ""abgedunkelte Fond scheiben"": true,
  ""Infotainment-System"": ""Mercedes me connect"",
  ""Elektrische Heckklappe"": true,
  ""Ambientebeleuchtung"": true,
  ""Fahrassistent-Paket PLUS"": true,
  ""Collision Prevention Assist"": true,
  ""Automatische Distanzregelung (DISTRONIC PLUS)"": true,
  ""Abstandswarner"": true,
  ""Attention-Assist"": true,
  ""Lane-Assist (Spurhalteassistent)"": true,
  ""Totwinkel-Assistent"": true,
  ""ADAPTIVES-DÄMPFUNGS-SYSTEM PLUS (ADS+) "": true,
  ""Seitenwind-Assistent"": true,
  ""Verkehrszeichen-Erkennungsassistent"": true,
  ""Aktiver Brems-Assistent"": true,
  ""Adaptive Brake (Auto Hold)"": true,
  ""Exklusive Vollleder Sport-Komfortsitze"": true,
  ""LED-Scheinwerfer"": true,
  "" Navigationssystem Comand-Online Plus-DVD mit großem Farbdisplay und 3D-Kartendarstellung mit ( SD-Kartenleser-und USB-Speicher ) "": true,
  ""Tempomat (Geschwindigkeitsregelanlage)"": true,
  ""Telefonfreisprechanlage und Handy Bluetooth Funktion und Audio Bluetooth Verbindung für Musik"": true,
  ""Multifunktions-Lederlenkrad in 3-Speichen Sport- Design unten abgeflacht"": true,
  ""Fahrer-Informationssystem (Bordcomputer)"": true,
  ""2x Memory-Paket"": true,
  ""4x elektrische Sitzheizung "": true,
  ""2x Elektrische Komfortsitze "": true,
  ""Modelljahr 2020, Baujahr 18.12.2019"": true,
  ""21 Zoll AMG Sport Alufelgen mit Sommerreifen"": true
}"
103," {
  ""TEIL 1"": {
    ""TÜV"": ""HU/AU neu"",
    ""Scheckheft"": ""lückenlos bei Mercedes"",
    ""Bereifung"": ""8-fach (Allwetterreifen)"",
    ""Garantie"": ""24 Monate"",
    ""Unfallfrei"": true,
    ""Mängel"": ""Keine"",
  },
  ""TEIL 2"": {
    ""DISTRONIC"": true,
    ""ACC"": true,
    ""MULTIBEAM"": true,
    ""ILS"": true,
    ""4-Zonen"": true,
    ""THERMOTRONIC"": true,
    ""Klima hinten"": true,
    ""Burmester 3D"": true,
    ""AMG Line"": true,
    ""Pano"": true,
  }
}"
104," {
  ""TEIL 1"": {
    ""TÜV"": ""HU/AU neu"",
    ""Scheckheft"": ""Keine Angabe"",
    ""Bereifung"": ""8-fach, Winter und Sommer"",
    ""Garantie"": ""Junge Sterne 24 Monate"",
    ""Unfallfrei"": true,
    ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle""
  },
  ""TEIL 2"": {
    ""DISTRONIC"": true,
    ""ACC"": true,
    ""MULTIBEAM"": true,
    ""4-Zonen"": false,
    ""THERMOTRONIC"": true,
    ""Klima hinten"": false,
    ""2-Zonen"": false,
    ""THERMATIC"": false,
    ""Burmester 3D"": false,
    ""Burmester (Standard)"": true,
    ""AMG Line"": true,
    ""Pano"": true
  }
}"
105," {
  ""TUV"": ""HU/AU neu"",
  ""Scheckheft"": ""Keine Angabe"",
  ""Bereifung"": ""8-fach, Allwetterreifen"",
  ""Garantie"": ""24 Monate"",
  ""Unfallfrei"": ""true"",
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",

  ""DISTRONIC"": ""Abstandsregeltempomat (DISTRONIC)"",
  ""MULTIBEAM"": ""Matrix-LED / MULTIBEAM"",
  ""4-Zonen_THERMOTRONIC"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
  ""2-Zonen_THERMATIC"": ""Keine Angabe"",
  ""Burmester_3D"": ""Burmester High-End 3D-Soundsystem"",
  ""Burmester"": ""Burmester Surround-Soundsystem"",
  ""AMG Line"": ""AMG Line (Night-Paket erwähnt wird!)"",
  ""Pano"": ""Panorama-Schiebedach""
}"
106," {
  ""TUV"": ""HU/AU neu"",
  ""Scheckheft"": ""Keine Angabe"",
  ""Bereifung"": ""8-fach (Winter + Sommer)"",
  ""Garantie"": ""Junge Sterne 24 Monate"",
  ""Unfallfrei"": true,
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC_ACC"": true,
  ""MULTIBEAM_ILS"": true,
  ""4-Zonen_THERMOTRONIC_Klima hinten"": true,
  ""2-Zonen_THERMATIC"": false,
  ""Burmester 3D"": false,
  ""Burmester (Standard)"": true,
  ""AMG Line"": true,
  ""Pano"": true,
  ""VIN"": ""WDC1668731A848308"",
  ""Year"": ""2016""
}"
107," {
  ""TÜV"": true,
  ""Scheckheft"": true,
  ""Bereifung"": ""8-fach"",
  ""Garantie"": 24,
  ""Unfallfrei"": true,
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC"": true,
  ""MULTIBEAM"": true,
  ""Klima hinten"": true,
  ""Burmester 3D"": true,
  ""Burmester (Standard)"": true,
  ""AMG Line"": true,
  ""Pano"": true,
  ""ADS+"": true,
  ""7 Sitzer"": true,
  ""Zusatzheizung"": true,
  ""Deutschland"": true,
  ""Garagentoröffner"": true,
  ""DISTRONIC PLUS"": true,
  ""Aktiver Park-Assistent"": true,
  ""Fahrpaket"": true,
  ""Elektrisch verstellbar mit Memory"": true,
  ""Automatisch abblendbar"": true,
  ""MB-Mobilo"": true,
  ""DTR+Q"": true,
  ""GPS-Antenne"": true,
  ""Ausstiegswarner-Assistent"": true,
  ""Telefonantenne"": true,
  ""Memory-Paket"": true,
  ""Sidebags im Fond"": true,
  ""Kneebag"": true,
  ""SC für Fahrzeugbreite/-länge"": true,
  ""Kältemittel alternativ"": true,
  ""Bundesrepublik Deutschland"": true,
  ""Sprache Kombiinstrument/HU - Deutsch"": true,
  ""Dienste für Fernzugriff Plus"": true,
  ""Ecall-Notrufsystem"": true,
  ""Vorrüstung für Navigationsnachrüstung"": true,
  ""HERMES - Kommunikationsmodul LTE"": true,
  ""Festplatten-Navigation"": true,
  ""Vorrüstung für Live Traffic Information"": true,
  ""Massagefunktion"": true,
  ""NTG6"": true,
  ""EDW"": true,
  ""Automatische Fernlichtschaltung Plus (IHC+)"": true,
  ""Scheinwerfer LED dynamisch Rechtsverkehr"": true,
  ""DAB (Digi. Audio Broadc.)"": true,
  ""Sonnenblende mit Zusatzfunktion"": true,
  ""Automatische Geschwindigkeitsregelung"": true,
  ""Connect 20 High"": true,
  ""Einbruch- und Diebstahlwarnanlage Basis"": true,
  ""Automatische Rückwandtür"": true,
  ""Drahtlose Telefonaufladung vorne und Antenne"": true,
  ""Parkassistent mit Querfunktion (UN R79)"": true,
  ""Erweitertes Wiederanfahren bei Stop-And-Go-Verkehr"": true,
  ""Streckenbasierte Geschwindigkeitsanpassung"": true,
  ""Steuer-Code Umstellung WLTP mit RDE"": true,
  ""Normally Open"": true,
  ""Raddurchmesser Mittel (Gr. 790)"": true,
  ""Maßnahmepaket Aerodynamik"": true,
  ""Fahrwerkmassnahmen für Schlechtwegeländer"": true,
  ""Fernbedienung für Zusatzheizung"": true,
  ""Schließ"": false
}"
108," {
  ""TÜV"": ""HU/AU neu"",
  ""Scheckheft"": ""lückenlos bei Mercedes"",
  ""Garantie"": ""24 Monate"",
  ""Unfallfrei"": true,
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC"": ""true"",
  ""MULTIBEAM"": ""true"",
  ""4-Zonen THERMOTRONIC Klima hinten"": ""Klimaautomatik (4-Zonen / THERMOTRONIC)"",
  ""2-Zonen THERMATIC"": ""Klimaautomatik (2-Zonen / THERMATIC)"",
  ""Burmester 3D"": ""Burmester High-End 3D-Soundsystem"",
  ""Burmester (Standard)"": ""Burmester Surround-Soundsystem"",
  ""AMG Line"": ""AMG Line (Achte darauf, ob auch Night-Paket erwähnt wird!)"",
  ""Pano"": ""Panorama-Schiebedach""
}"
109," {
  ""TUV"": true,
  ""Scheckheft"": true,
  ""Bereifung"": ""8-fach"",
  ""Allwetterreifen"": true,
  ""Garantie"": 24,
  ""Unfallfrei"": true,
  ""Mängel"": ""Steinschlag Frontscheibe, Felge zerkratzt, Delle"",
  ""DISTRONIC"": true,
  ""MULTIBEAM"": true,
  ""4-Zonen_THERMOTRONIC"": true,
  ""2-Zonen_THERMATIC"": false,
  ""Burmester_3D"": true,
  ""Burmester"": false,
  ""AMG Line"": true,
  ""Pano"": true,
  ""Unfallfrei_Hidden"": true,
  ""Ausstattung_Additional"": [
    ""Adaptives Bremslicht"",
    ""Airbag Fahrer-/Beifahrerseite"",
    ""Aktive Motorhaube"",
    ""Antriebs-Schlupfregelung (ASR)"",
    ""Audio-Navigationssystem: COMAND Online"",
    ""Außenspiegel elektr. verstell- und heizbar, beide"",
    ""Blinkleuchte in Außenspiegel integriert"",
    ""Dachreling (Aluminium)"",
    ""Design- und Ausstattungslinie AMG Line"",
    ""elektronisches Traktionssystem (ETS)"",
    ""Fahrassistenz-System: Agility Select / Dynamic Select (Fahrmodusschalter)"",
    ""Fahrassistenz-System: aktiver Bremsassistent"",
    ""Fahrassistenz-System: Attention-Assist (Müdigkeitserkennungs-Sensor)"",
    ""Fahrassistenz-System: Bergabfahrkontrolle (Downhill-Speed-Regulation)"",
    ""Fahrassistenz-System: Berganfahrhilfe"",
    ""Fahrassistenz-System: Seitenwind-Assistent"",
    ""Fensterheber elektrisch vorn + hinten"",
    ""Feststellbremse elektrisch"",
    ""Gepäcknetz / Tasche an Vordersitzlehne"",
    ""Gepäckraumabdeckung / Rollo"",
    ""Handschuhfach mit Kühlfunktion"",
    ""Heckklappe mit automatischem Öffnungs- und Schließsystem"",
    ""Heckleuchten LED"",
    ""Infotainment-System: Mercedes me connect"",
    ""Isofix-Aufnahmen für Kindersitz an Rücksitz"",
    ""Karosserie: 5-türig"",
    ""Knieairbag Fahrerseite"",
    ""Kopf-Airbag-System (Windowbag)"",
    ""Lenkrad mit Multifunktion"",
    ""Lenksäule (Lenkrad) mechan. verstellbar"",
    ""Mercedes-Benz Notrufsystem"",
    ""Mittelarmlehne hinten"",
    ""Motor 3,0 Ltr. - 190 kW CDI KAT"",
    ""PRE-SAFE-System"",
    ""Radstand 3075 mm"",
    ""Reifendruck-Kontrollsystem"",
    ""Rücksitzlehne geteilt / klappbar"",
    ""Schadstoffarm nach Abgasnorm Euro 6"",
    ""SCR-System (AdBlue-Technologie)"",
    ""Seitenairbag (Sidebag) vorn"",
    ""Sitze vorn elektr. verstellbar"",
    ""Sonnenblenden mit Spiegel (beleuchtet)"",
    ""Start/Stop-Anlage"",
    ""Steckdose (12V-Anschluß)"",
    ""Underbody Protection"",
    ""Wärmeschutzverglasung""
  ],
  ""Service Historie"": [
    {
      ""Kilometer"": 8079,
      ""Service"": 1
    },
    {
      ""Kilometer"": 24866,
      ""Service"": 2
    },
    {
      ""Kilometer"": 26583,
      ""Service"": 3
    },
    {
      ""Kilometer"": 48807,
      ""Service"": 4
    },
    {
      ""Kilometer"": 74758,
      ""Service"": 5
    },
    {
      ""Kilometer"": 95069,
      ""Service"": 6
    },
    {
      ""Kilometer"": 122464,
      ""Service"": 7
    },
    {
      ""Kilometer"": 141287,
      ""Service"": 8
    },
    {
      ""Kilometer"": 163402,
      ""Service"": 9
    },
    {
      ""Kilometer"": 189126,
      ""Service"": 10
    },
    {
      ""Kilometer"": 208693,
      ""Service"": 11
    }
  ],
  ""Scheckheft_Brand"": ""Mercedes-Benz""
}"
